import_table_name;import_field_name;static_value;cb_table_name;cb_field_name;cb_field_type;search_value;replace_value;commentaire
documents;id;;documents;ul1_uid;varchar(128);{#};#;
documents;titre;;documents;title;;;;
documents;nom;;documents;filename;;;;
documents;mimetype;;documents;mimetype;;;;
documents;id;;documents;storedfilename;;{#};#;
documents;taille;;documents;size;;;;
documents;date_depot;;documents;creationdate;;;;
videos;id;;video;ul1_uid;varchar(128);{#};#;supprimer les accolades
videos;id_wmv;;video;videokey;;{#};#;
videos;titre;;video;title;;;;
videos;detail;;video;description;;<br/>;\n;
videos;id_wmv;;video;file_name;;{#};#;
videos;;1;video;userid;;;;
videos;id_wmv;;video;file_directory;;{#};/var/tv/media/video/#;A générer dans le csv (/var/tv/media/video/ + id_wmv
videos;;public;video;broadcast;;;;A modifier public/logged…
videos;date_event;;video;datecreated;;;;Transformer le CSV JJ/MM/YYYY -> YYYY-MM-DD
videos;duree_film;;video;duration;;;;
videos;;;video;allow_embedding;;;;
videos;;0;video;rating;;;;
videos;;0;video;comments_count;;;;
videos;;no;video;featured;;;;
videos;publie;;video;active;;0#1;no#yes;transformer -1/0 en yes/no
videos;;successful;video;status;;;;
